                          OLS Regression Results                          
Dep. Variable:   ,peer            ,  R-squared (uncentered):     ,   0.997
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.958
Method:          ,Least Squares   ,  F-statistic:                ,   25.36
Date:            ,Mon, 04 Mar 2024,  Prob (F-statistic):         ,0.00304 
Time:            ,10:54:43        ,  Log-Likelihood:             ,  8.1739
No. Observations:,    63          ,  AIC:                        ,   101.7
Df Residuals:    ,     4          ,  BIC:                        ,   228.1
Df Model:        ,    59          ,                              ,        
Covariance Type: ,nonrobust       ,                              ,        
                                                                    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
behavior_activity-level                                             ,    6.0656,    2.265,    2.678, 0.055,   -0.224,   12.355
behavior_anger-management                                           ,    1.0697,    3.785,    0.283, 0.792,   -9.439,   11.579
behavior_assertiveness                                              ,   -9.2972,    3.226,   -2.882, 0.045,  -18.253,   -0.342
behavior_compliance                                                 ,    1.4683,    3.231,    0.454, 0.673,   -7.502,   10.439
behavior_habits-routines                                            ,    4.8341,    4.536,    1.066, 0.347,   -7.760,   17.428
behavior_obsessive-thoughts                                         ,   -1.2817,    3.610,   -0.355, 0.740,  -11.305,    8.742
behavior_play                                                       ,   -3.7633,    3.604,   -1.044, 0.355,  -13.769,    6.242
behavior_risk-taking                                                ,    5.8832,    3.448,    1.706, 0.163,   -3.691,   15.457
behavior_self-control                                               ,    2.3525,    2.311,    1.018, 0.366,   -4.064,    8.769
cognition_abstract-thinking                                         ,    3.0261,    5.309,    0.570, 0.599,  -11.714,   17.766
cognition_attention-concentration                                   ,    9.4729,    2.815,    3.365, 0.028,    1.657,   17.289
cognition_memory-recall                                             ,   -2.5114,    7.212,   -0.348, 0.745,  -22.536,   17.514
cognition_planning-and-organization                                 ,    0.7490,    4.892,    0.153, 0.886,  -12.833,   14.331
cognition_self-image                                                ,    5.8186,    3.438,    1.692, 0.166,   -3.727,   15.365
cognition_task-completion                                           ,   -2.1125,    4.194,   -0.504, 0.641,  -13.756,    9.531
cognition_thinking-speed                                            ,   -5.8417,    2.488,   -2.348, 0.079,  -12.749,    1.066
communication_expressive-language                                   ,   -6.8234,    3.305,   -2.065, 0.108,  -16.000,    2.353
communication_receptive-language                                    ,    8.3604,    4.526,    1.847, 0.138,   -4.205,   20.926
communication_speech-quality                                        ,    3.3648,    3.650,    0.922, 0.409,   -6.769,   13.498
communication_speech-quantity                                       ,    2.2420,    2.875,    0.780, 0.479,   -5.739,   10.223
daily-routines_morning-routine                                      ,   -3.3844,    4.575,   -0.740, 0.500,  -16.086,    9.317
daily-routines_screen-time                                          ,    1.6600,    2.025,    0.820, 0.458,   -3.961,    7.281
daily-routines_transitions                                          ,   -1.9514,    5.890,   -0.331, 0.757,  -18.304,   14.401
emotion_attachment                                                  ,    0.3776,    2.099,    0.180, 0.866,   -5.449,    6.205
emotion_emotional-regulation-and-reactivity                         ,    0.2883,    3.791,    0.076, 0.943,  -10.238,   10.815
emotion_empathy                                                     ,    3.3284,    4.278,    0.778, 0.480,   -8.551,   15.207
emotion_irritability                                                ,    5.4174,    4.194,    1.292, 0.266,   -6.228,   17.063
emotion_stress-management                                           ,  -16.3363,    6.119,   -2.670, 0.056,  -33.326,    0.654
emotion_worries-anxiety                                             ,   22.0831,    5.001,    4.416, 0.012,    8.199,   35.967
learning-and-acquisition-of-knowledge-and-skills_academic-motivation,   -8.4531,    3.010,   -2.808, 0.048,  -16.810,   -0.096
learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills  ,   -1.6290,    3.404,   -0.479, 0.657,  -11.079,    7.821
learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills ,   -2.1896,    2.466,   -0.888, 0.425,   -9.035,    4.656
learning-and-acquisition-of-knowledge-and-skills_learning-strategies,   -4.4505,    5.739,   -0.775, 0.481,  -20.386,   11.485
learning-and-acquisition-of-knowledge-and-skills_math-arithmetic    ,   -3.0754,    4.538,   -0.678, 0.535,  -15.674,    9.523
learning-and-acquisition-of-knowledge-and-skills_reading            ,   17.8626,    8.565,    2.086, 0.105,   -5.918,   41.643
learning-and-acquisition-of-knowledge-and-skills_writing            ,  -16.0708,    9.122,   -1.762, 0.153,  -41.396,    9.255
other-special-issues_bullying                                       ,   -2.3042,    1.027,   -2.243, 0.088,   -5.156,    0.547
other-special-issues_perception-of-reality                          ,   -4.8861,    1.952,   -2.504, 0.066,  -10.304,    0.532
other-special-issues_physically-harms-self                          ,   -1.6623,    1.025,   -1.622, 0.180,   -4.507,    1.183
other-special-issues_physically-or-emotionally-harms-others         ,   -4.3596,    1.608,   -2.711, 0.054,   -8.825,    0.106
other-special-issues_self-care-hygiene                              ,   -0.5840,    1.441,   -0.405, 0.706,   -4.585,    3.417
other-special-issues_sleep                                          ,    1.8912,    0.874,    2.164, 0.096,   -0.535,    4.318
other-special-issues_substance-use                                  ,   -0.8156,    1.401,   -0.582, 0.592,   -4.706,    3.074
other-special-issues_tics-and-other-atypical-movements              ,    1.7445,    1.229,    1.420, 0.229,   -1.667,    5.156
other-special-issues_trauma-history                                 ,    0.0597,    1.696,    0.035, 0.974,   -4.648,    4.768
personality_creativity                                              ,  -11.1905,    4.102,   -2.728, 0.053,  -22.580,    0.199
personality_future-outlook                                          ,    8.7277,    4.229,    2.064, 0.108,   -3.013,   20.469
personality_integrity-and-honesty                                   ,    1.8570,    3.622,    0.513, 0.635,   -8.200,   11.914
personality_perseverance                                            ,    3.2581,    4.575,    0.712, 0.516,   -9.444,   15.960
personality_responsibility-for-self-and-others                      ,    2.4176,    4.754,    0.509, 0.638,  -10.781,   15.617
personality_self-confidence                                         ,   -3.9276,    4.219,   -0.931, 0.405,  -15.641,    7.786
social-function_social-communication                                ,    6.6810,    2.970,    2.249, 0.088,   -1.566,   14.928
social-function_social-cooperation                                  ,   -2.6914,    3.258,   -0.826, 0.455,  -11.737,    6.354
social-function_social-engagement                                   ,   -5.3317,    2.712,   -1.966, 0.121,  -12.860,    2.197
social-function_tolerance                                           ,   -4.6363,    4.844,   -0.957, 0.393,  -18.085,    8.813
somatic-and-sensory-functions_eating                                ,    0.5508,    1.621,    0.340, 0.751,   -3.950,    5.051
somatic-and-sensory-functions_sensory-reactivity                    ,    0.1115,    3.092,    0.036, 0.973,   -8.474,    8.697
somatic-and-sensory-functions_sexual-identity-behavior              ,    1.0074,    8.105,    0.124, 0.907,  -21.497,   23.512
toileting                                                           ,    5.0053,    2.135,    2.345, 0.079,   -0.921,   10.932
Omnibus:      , 4.181,  Durbin-Watson:     ,   2.104
Prob(Omnibus):, 0.124,  Jarque-Bera (JB):  ,   3.990
Skew:         ,-0.260,  Prob(JB):          ,   0.136
Kurtosis:     , 4.118,  Cond. No.          ,    646.

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
