,Item,ICC,PVal,CI95
43,other-special-issues_tics-and-other-atypical-movements,1.000,0.000,[nan nan]
11,cognition_memory-recall,0.934,0.000,[0.81 0.98]
21,daily-routines_screen-time,0.918,0.000,[0.77 0.97]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.871,0.000,[0.65 0.96]
18,communication_speech-quality,0.866,0.000,[0.65 0.95]
41,other-special-issues_sleep,0.860,0.000,[0.63 0.95]
16,communication_expressive-language,0.831,0.000,[0.56 0.94]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.808,0.000,[0.51 0.93]
17,communication_receptive-language,0.807,0.000,[0.51 0.93]
15,cognition_thinking-speed,0.807,0.000,[0.51 0.93]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.805,0.000,[0.51 0.93]
27,emotion_stress-management,0.803,0.000,[0.5  0.93]
13,cognition_self-image,0.773,0.000,[0.44 0.92]
9,cognition_abstract-thinking,0.771,0.000,[0.44 0.92]
52,social-function_social-cooperation,0.767,0.000,[0.43 0.92]
26,emotion_irritability,0.741,0.001,[0.38 0.91]
1,behavior_anger-management,0.730,0.001,[0.36 0.9 ]
19,communication_speech-quantity,0.720,0.001,[0.34 0.9 ]
14,cognition_task-completion,0.708,0.001,[0.32 0.9 ]
22,daily-routines_transitions,0.689,0.002,[0.29 0.89]
28,emotion_worries-anxiety,0.683,0.002,[0.28 0.88]
51,social-function_social-communication,0.668,0.003,[0.25 0.88]
0,behavior_activity-level,0.661,0.003,[0.24 0.88]
58,toileting,0.649,0.004,[0.22 0.87]
10,cognition_attention-concentration,0.636,0.004,[0.2  0.87]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.632,0.005,[0.19 0.86]
50,personality_self-confidence,0.615,0.006,[0.16 0.86]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.610,0.006,[0.16 0.85]
12,cognition_planning-and-organization,0.600,0.007,[0.14 0.85]
56,somatic-and-sensory-functions_sensory-reactivity,0.579,0.010,[0.11 0.84]
25,emotion_empathy,0.570,0.011,[0.1  0.84]
55,somatic-and-sensory-functions_eating,0.568,0.012,[0.09 0.84]
20,daily-routines_morning-routine,0.550,0.014,[0.07 0.83]
2,behavior_assertiveness,0.546,0.015,[0.06 0.83]
36,other-special-issues_bullying,0.536,0.017,[0.05 0.82]
4,behavior_habits-routines,0.529,0.018,[0.04 0.82]
3,behavior_compliance,0.528,0.019,[0.04 0.82]
54,social-function_tolerance,0.518,0.021,[0.02 0.81]
46,personality_future-outlook,0.479,0.031,[-0.03  0.8 ]
23,emotion_attachment,0.473,0.033,[-0.04  0.79]
24,emotion_emotional-regulation-and-reactivity,0.452,0.041,[-0.06  0.78]
5,behavior_obsessive-thoughts,0.427,0.051,[-0.09  0.77]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.410,0.059,[-0.12  0.76]
53,social-function_social-engagement,0.358,0.089,[-0.17  0.73]
48,personality_perseverance,0.329,0.109,[-0.21  0.72]
45,personality_creativity,0.325,0.112,[-0.21  0.72]
49,personality_responsibility-for-self-and-others,0.253,0.174,[-0.28  0.68]
37,other-special-issues_perception-of-reality,0.217,0.212,[-0.32  0.65]
7,behavior_risk-taking,0.167,0.269,[-0.36  0.62]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.156,0.283,[-0.37  0.62]
47,personality_integrity-and-honesty,0.098,0.359,[-0.42  0.58]
39,other-special-issues_physically-or-emotionally-harms-others,-0.000,0.497,[-0.5   0.51]
57,somatic-and-sensory-functions_sexual-identity-behavior,-0.024,0.532,[-0.52  0.49]
44,other-special-issues_trauma-history,-0.083,0.616,[-0.56  0.45]
40,other-special-issues_self-care-hygiene,-0.083,0.616,[-0.56  0.45]
8,behavior_self-control,-0.200,0.764,[-0.64  0.34]
6,behavior_play,-0.347,0.900,[-0.72  0.2 ]
38,other-special-issues_physically-harms-self,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
