                      OLS Regression Results                     
Dep. Variable:   ,conduct         ,  R-squared:         ,   0.805
Model:           ,OLS             ,  Adj. R-squared:    ,   0.595
Method:          ,Least Squares   ,  F-statistic:       ,   3.830
Date:            ,Thu, 29 Feb 2024,  Prob (F-statistic):,3.09e-11
Time:            ,13:15:45        ,  Log-Likelihood:    , -245.14
No. Observations:,   209          ,  AIC:               ,   708.3
Df Residuals:    ,   100          ,  BIC:               ,   1073.
Df Model:        ,   108          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                                                                          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
behavior_activity-level_LEFT                                              ,    3.7709,    4.032,    0.935, 0.352,   -4.228,   11.769
behavior_activity-level_RIGHT                                             ,   -2.4623,    3.031,   -0.812, 0.419,   -8.476,    3.552
behavior_anger-management_LEFT                                            ,   -3.2142,   15.003,   -0.214, 0.831,  -32.980,   26.552
behavior_anger-management_RIGHT                                           ,   -0.7274,    4.535,   -0.160, 0.873,   -9.724,    8.269
behavior_assertiveness_LEFT                                               ,    1.0918,    4.446,    0.246, 0.807,   -7.729,    9.912
behavior_assertiveness_RIGHT                                              ,    8.6800,    4.832,    1.796, 0.075,   -0.907,   18.267
behavior_compliance_LEFT                                                  ,    5.1309,    4.486,    1.144, 0.255,   -3.769,   14.031
behavior_compliance_RIGHT                                                 ,    9.4907,    4.626,    2.052, 0.043,    0.313,   18.669
behavior_habits-routines_LEFT                                             ,    0.3946,    9.821,    0.040, 0.968,  -19.090,   19.880
behavior_habits-routines_RIGHT                                            ,   -2.2985,    3.965,   -0.580, 0.563,  -10.165,    5.568
behavior_obsessive-thoughts_LEFT                                          ,   -2.8776,    7.348,   -0.392, 0.696,  -17.456,   11.700
behavior_obsessive-thoughts_RIGHT                                         ,    1.7052,    3.396,    0.502, 0.617,   -5.033,    8.444
behavior_play_LEFT                                                        ,   -5.2059,    6.407,   -0.813, 0.418,  -17.916,    7.505
behavior_play_RIGHT                                                       ,   -0.0052,    7.571,   -0.001, 0.999,  -15.027,   15.016
behavior_risk-taking_LEFT                                                 ,    1.3927,    8.331,    0.167, 0.868,  -15.135,   17.920
behavior_risk-taking_RIGHT                                                ,   -5.7435,    4.626,   -1.242, 0.217,  -14.921,    3.434
behavior_self-control_LEFT                                                ,   -4.0835,    3.641,   -1.121, 0.265,  -11.308,    3.141
behavior_self-control_RIGHT                                               ,    4.4460,    6.084,    0.731, 0.467,   -7.624,   16.516
cognition_abstract-thinking_LEFT                                          ,   -2.3835,    4.863,   -0.490, 0.625,  -12.032,    7.265
cognition_abstract-thinking_RIGHT                                         ,    3.3357,   17.180,    0.194, 0.846,  -30.748,   37.420
cognition_attention-concentration_LEFT                                    ,    1.8446,    5.981,    0.308, 0.758,  -10.022,   13.711
cognition_attention-concentration_RIGHT                                   ,   -3.6734,    9.862,   -0.372, 0.710,  -23.239,   15.893
cognition_memory-recall_LEFT                                              ,   -8.2198,   10.327,   -0.796, 0.428,  -28.708,   12.268
cognition_memory-recall_RIGHT                                             ,   -1.1101,   12.951,   -0.086, 0.932,  -26.804,   24.583
cognition_planning-and-organization_LEFT                                  ,    2.6651,    5.515,    0.483, 0.630,   -8.277,   13.608
cognition_planning-and-organization_RIGHT                                 ,   -0.9927,    7.928,   -0.125, 0.901,  -16.723,   14.737
cognition_self-image_LEFT                                                 ,    3.9924,    4.308,    0.927, 0.356,   -4.555,   12.540
cognition_self-image_RIGHT                                                ,    3.1292,   11.117,    0.281, 0.779,  -18.927,   25.185
cognition_task-completion_LEFT                                            ,    6.9859,    5.806,    1.203, 0.232,   -4.533,   18.505
