                      OLS Regression Results                     
Dep. Variable:   ,hyper           ,  R-squared:         ,   0.827
Model:           ,OLS             ,  Adj. R-squared:    ,   0.641
Method:          ,Least Squares   ,  F-statistic:       ,   4.441
Date:            ,Thu, 29 Feb 2024,  Prob (F-statistic):,2.95e-13
Time:            ,13:15:45        ,  Log-Likelihood:    , -227.93
No. Observations:,   209          ,  AIC:               ,   673.9
Df Residuals:    ,   100          ,  BIC:               ,   1038.
Df Model:        ,   108          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                                                                          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
behavior_activity-level_LEFT                                              ,    8.8301,    3.713,    2.378, 0.019,    1.464,   16.197
behavior_activity-level_RIGHT                                             ,    4.7065,    2.792,    1.686, 0.095,   -0.832,   10.245
behavior_anger-management_LEFT                                            ,   10.2373,   13.818,    0.741, 0.461,  -17.177,   37.652
behavior_anger-management_RIGHT                                           ,    0.3122,    4.176,    0.075, 0.941,   -7.974,    8.598
behavior_assertiveness_LEFT                                               ,    3.0528,    4.095,    0.746, 0.458,   -5.071,   11.176
behavior_assertiveness_RIGHT                                              ,    5.1217,    4.451,    1.151, 0.253,   -3.708,   13.951
behavior_compliance_LEFT                                                  ,    4.7428,    4.132,    1.148, 0.254,   -3.454,   12.940
behavior_compliance_RIGHT                                                 ,   10.0769,    4.261,    2.365, 0.020,    1.624,   18.530
behavior_habits-routines_LEFT                                             ,   -1.7590,    9.045,   -0.194, 0.846,  -19.705,   16.187
behavior_habits-routines_RIGHT                                            ,   -0.8587,    3.652,   -0.235, 0.815,   -8.103,    6.386
behavior_obsessive-thoughts_LEFT                                          ,    3.1583,    6.767,    0.467, 0.642,  -10.268,   16.585
behavior_obsessive-thoughts_RIGHT                                         ,    4.9588,    3.128,    1.585, 0.116,   -1.247,   11.165
behavior_play_LEFT                                                        ,   -8.9103,    5.900,   -1.510, 0.134,  -20.617,    2.796
behavior_play_RIGHT                                                       ,   -2.0392,    6.973,   -0.292, 0.771,  -15.874,   11.796
behavior_risk-taking_LEFT                                                 ,  -15.3268,    7.672,   -1.998, 0.048,  -30.549,   -0.105
behavior_risk-taking_RIGHT                                                ,   -6.8817,    4.260,   -1.615, 0.109,  -15.334,    1.571
behavior_self-control_LEFT                                                ,   -0.1074,    3.354,   -0.032, 0.975,   -6.761,    6.546
behavior_self-control_RIGHT                                               ,   -0.6006,    5.603,   -0.107, 0.915,  -11.717,   10.516
cognition_abstract-thinking_LEFT                                          ,   -4.9142,    4.479,   -1.097, 0.275,  -13.801,    3.972
cognition_abstract-thinking_RIGHT                                         ,   22.1843,   15.822,    1.402, 0.164,   -9.207,   53.576
cognition_attention-concentration_LEFT                                    ,   13.3779,    5.508,    2.429, 0.017,    2.449,   24.307
cognition_attention-concentration_RIGHT                                   ,    4.7055,    9.083,    0.518, 0.606,  -13.315,   22.726
cognition_memory-recall_LEFT                                              ,    9.8940,    9.511,    1.040, 0.301,   -8.975,   28.763
cognition_memory-recall_RIGHT                                             ,   11.7456,   11.927,    0.985, 0.327,  -11.918,   35.409
cognition_planning-and-organization_LEFT                                  ,   -5.1602,    5.080,   -1.016, 0.312,  -15.238,    4.918
cognition_planning-and-organization_RIGHT                                 ,    2.5496,    7.302,    0.349, 0.728,  -11.937,   17.037
cognition_self-image_LEFT                                                 ,   -3.6379,    3.968,   -0.917, 0.361,  -11.510,    4.234
