                      OLS Regression Results                     
Dep. Variable:   ,peer            ,  R-squared:         ,   0.674
Model:           ,OLS             ,  Adj. R-squared:    ,   0.321
Method:          ,Least Squares   ,  F-statistic:       ,   1.912
Date:            ,Thu, 29 Feb 2024,  Prob (F-statistic):,0.000575
Time:            ,13:15:45        ,  Log-Likelihood:    , -294.07
No. Observations:,   209          ,  AIC:               ,   806.1
Df Residuals:    ,   100          ,  BIC:               ,   1170.
Df Model:        ,   108          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                                                                          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
behavior_activity-level_LEFT                                              ,   -1.0084,    5.095,   -0.198, 0.844,  -11.117,    9.100
behavior_activity-level_RIGHT                                             ,   -0.7936,    3.831,   -0.207, 0.836,   -8.394,    6.807
behavior_anger-management_LEFT                                            ,   -7.9208,   18.961,   -0.418, 0.677,  -45.539,   29.697
behavior_anger-management_RIGHT                                           ,   -2.3205,    5.731,   -0.405, 0.686,  -13.691,    9.050
behavior_assertiveness_LEFT                                               ,    4.5859,    5.619,    0.816, 0.416,   -6.561,   15.733
behavior_assertiveness_RIGHT                                              ,    0.6417,    6.107,    0.105, 0.917,  -11.474,   12.758
behavior_compliance_LEFT                                                  ,   -4.7470,    5.670,   -0.837, 0.404,  -15.995,    6.501
behavior_compliance_RIGHT                                                 ,   -3.9690,    5.846,   -0.679, 0.499,  -15.568,    7.630
behavior_habits-routines_LEFT                                             ,   -4.1361,   12.412,   -0.333, 0.740,  -28.761,   20.489
behavior_habits-routines_RIGHT                                            ,    0.2147,    5.011,    0.043, 0.966,   -9.727,   10.156
behavior_obsessive-thoughts_LEFT                                          ,   -3.4459,    9.286,   -0.371, 0.711,  -21.870,   14.978
behavior_obsessive-thoughts_RIGHT                                         ,   -4.4647,    4.292,   -1.040, 0.301,  -12.981,    4.051
behavior_play_LEFT                                                        ,   -2.0457,    8.097,   -0.253, 0.801,  -18.109,   14.018
behavior_play_RIGHT                                                       ,   -3.2827,    9.569,   -0.343, 0.732,  -22.267,   15.701
behavior_risk-taking_LEFT                                                 ,    7.7479,   10.528,    0.736, 0.463,  -13.139,   28.635
behavior_risk-taking_RIGHT                                                ,    4.5536,    5.846,    0.779, 0.438,   -7.045,   16.152
behavior_self-control_LEFT                                                ,   -1.2936,    4.602,   -0.281, 0.779,  -10.424,    7.837
behavior_self-control_RIGHT                                               ,    2.7226,    7.689,    0.354, 0.724,  -12.532,   17.977
cognition_abstract-thinking_LEFT                                          ,    0.7427,    6.146,    0.121, 0.904,  -11.451,   12.937
cognition_abstract-thinking_RIGHT                                         ,  -13.1982,   21.712,   -0.608, 0.545,  -56.273,   29.877
cognition_attention-concentration_LEFT                                    ,   -7.5984,    7.559,   -1.005, 0.317,  -22.595,    7.398
cognition_attention-concentration_RIGHT                                   ,   -6.9665,   12.464,   -0.559, 0.577,  -31.694,   17.761
cognition_memory-recall_LEFT                                              ,  -13.6844,   13.051,   -1.049, 0.297,  -39.577,   12.208
cognition_memory-recall_RIGHT                                             ,  -13.1954,   16.367,   -0.806, 0.422,  -45.667,   19.276
cognition_planning-and-organization_LEFT                                  ,   11.6595,    6.970,    1.673, 0.098,   -2.169,   25.488
cognition_planning-and-organization_RIGHT                                 ,    9.7677,   10.020,    0.975, 0.332,  -10.111,   29.647
cognition_self-image_LEFT                                                 ,    1.2770,    5.445,    0.235, 0.815,   -9.525,   12.080
cognition_self-image_RIGHT                                                ,   -1.9983,   14.050,   -0.142, 0.887,  -29.873,   25.876
cognition_task-completion_LEFT                                            ,   -0.8388,    7.337,   -0.114, 0.909,  -15.396,   13.719
cognition_task-completion_RIGHT                                           ,   -1.5407,    9.768,   -0.158, 0.875,  -20.920,   17.838
cognition_thinking-speed_LEFT                                             ,    6.1018,    5.923,    1.030, 0.305,   -5.650,   17.853
cognition_thinking-speed_RIGHT                                            ,    4.7462,    6.744,    0.704, 0.483,   -8.634,   18.126
communication_expressive-language_LEFT                                    ,   12.5124,    7.292,    1.716, 0.089,   -1.955,   26.979
communication_expressive-language_RIGHT                                   ,   12.7686,   10.983,    1.163, 0.248,   -9.022,   34.559
communication_receptive-language_LEFT                                     ,   -5.4476,   17.079,   -0.319, 0.750,  -39.333,   28.438
communication_receptive-language_RIGHT                                    ,   -8.4932,   10.418,   -0.815, 0.417,  -29.162,   12.175
communication_speech-quality_LEFT                                         ,   -5.2689,    7.560,   -0.697, 0.487,  -20.267,    9.729
communication_speech-quality_RIGHT                                        ,    7.4046,    6.561,    1.129, 0.262,   -5.611,   20.420
communication_speech-quantity_LEFT                                        ,    1.6733,    6.229,    0.269, 0.789,  -10.684,   14.031
communication_speech-quantity_RIGHT                                       ,    8.2865,    5.774,    1.435, 0.154,   -3.169,   19.742
daily-routines_morning-routine_LEFT                                       ,   -0.1268,    5.305,   -0.024, 0.981,  -10.652,   10.398
