                      OLS Regression Results                     
Dep. Variable:   ,tot             ,  R-squared:         ,   0.729
Model:           ,OLS             ,  Adj. R-squared:    ,   0.435
Method:          ,Least Squares   ,  F-statistic:       ,   2.485
Date:            ,Thu, 29 Feb 2024,  Prob (F-statistic):,3.05e-06
Time:            ,13:15:45        ,  Log-Likelihood:    , -465.63
No. Observations:,   209          ,  AIC:               ,   1149.
Df Residuals:    ,   100          ,  BIC:               ,   1514.
Df Model:        ,   108          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                                                                          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
behavior_activity-level_LEFT                                              ,    6.4672,   11.579,    0.559, 0.578,  -16.505,   29.439
behavior_activity-level_RIGHT                                             ,    4.6401,    8.706,    0.533, 0.595,  -12.632,   21.912
behavior_anger-management_LEFT                                            ,  -41.9910,   43.090,   -0.974, 0.332, -127.480,   43.498
behavior_anger-management_RIGHT                                           ,   -6.2178,   13.024,   -0.477, 0.634,  -32.057,   19.621
behavior_assertiveness_LEFT                                               ,   17.7634,   12.768,    1.391, 0.167,   -7.569,   43.096
behavior_assertiveness_RIGHT                                              ,   10.5162,   13.878,    0.758, 0.450,  -17.018,   38.051
behavior_compliance_LEFT                                                  ,   -0.8250,   12.884,   -0.064, 0.949,  -26.387,   24.737
behavior_compliance_RIGHT                                                 ,    4.5180,   13.286,    0.340, 0.735,  -21.842,   30.878
behavior_habits-routines_LEFT                                             ,  -14.2704,   28.207,   -0.506, 0.614,  -70.232,   41.691
behavior_habits-routines_RIGHT                                            ,    0.6202,   11.387,    0.054, 0.957,  -21.972,   23.212
behavior_obsessive-thoughts_LEFT                                          ,  -17.5821,   21.103,   -0.833, 0.407,  -59.451,   24.286
behavior_obsessive-thoughts_RIGHT                                         ,   -4.6345,    9.755,   -0.475, 0.636,  -23.987,   14.718
behavior_play_LEFT                                                        ,  -17.0770,   18.400,   -0.928, 0.356,  -53.582,   19.428
behavior_play_RIGHT                                                       ,   -7.5810,   21.745,   -0.349, 0.728,  -50.723,   35.561
behavior_risk-taking_LEFT                                                 ,   19.9992,   23.926,    0.836, 0.405,  -27.468,   67.467
behavior_risk-taking_RIGHT                                                ,   -4.3928,   13.285,   -0.331, 0.742,  -30.751,   21.965
behavior_self-control_LEFT                                                ,   -5.6571,   10.458,   -0.541, 0.590,  -26.406,   15.092
behavior_self-control_RIGHT                                               ,   24.2209,   17.473,    1.386, 0.169,  -10.446,   58.888
cognition_abstract-thinking_LEFT                                          ,    1.9552,   13.968,    0.140, 0.889,  -25.756,   29.667
cognition_abstract-thinking_RIGHT                                         ,  -10.5870,   49.341,   -0.215, 0.831, -108.477,   87.303
cognition_attention-concentration_LEFT                                    ,  -17.9198,   17.178,   -1.043, 0.299,  -52.000,   16.160
cognition_attention-concentration_RIGHT                                   ,  -21.6076,   28.324,   -0.763, 0.447,  -77.801,   34.586
cognition_memory-recall_LEFT                                              ,  -33.3770,   29.659,   -1.125, 0.263,  -92.219,   25.465
cognition_memory-recall_RIGHT                                             ,  -25.2332,   37.194,   -0.678, 0.499,  -99.026,   48.559
cognition_planning-and-organization_LEFT                                  ,   30.2597,   15.840,    1.910, 0.059,   -1.167,   61.687
cognition_planning-and-organization_RIGHT                                 ,   39.4249,   22.771,    1.731, 0.086,   -5.751,   84.601
cognition_self-image_LEFT                                                 ,    4.7186,   12.374,    0.381, 0.704,  -19.830,   29.268
cognition_self-image_RIGHT                                                ,   -7.6390,   31.929,   -0.239, 0.811,  -70.985,   55.707
cognition_task-completion_LEFT                                            ,   10.0674,   16.675,    0.604, 0.547,  -23.015,   43.150
cognition_task-completion_RIGHT                                           ,  -25.6676,   22.198,   -1.156, 0.250,  -69.707,   18.372
cognition_thinking-speed_LEFT                                             ,    4.6010,   13.461,    0.342, 0.733,  -22.105,   31.307
cognition_thinking-speed_RIGHT                                            ,    2.9216,   15.326,    0.191, 0.849,  -27.485,   33.328
communication_expressive-language_LEFT                                    ,    4.8209,   16.571,    0.291, 0.772,  -28.056,   37.698
communication_expressive-language_RIGHT                                   ,   18.5502,   24.960,    0.743, 0.459,  -30.970,   68.071
communication_receptive-language_LEFT                                     ,   12.3468,   38.814,    0.318, 0.751,  -64.659,   89.353
communication_receptive-language_RIGHT                                    ,   11.5635,   23.675,    0.488, 0.626,  -35.407,   58.534
communication_speech-quality_LEFT                                         ,  -16.0970,   17.179,   -0.937, 0.351,  -50.180,   17.986
communication_speech-quality_RIGHT                                        ,    6.8457,   14.909,    0.459, 0.647,  -22.734,   36.425
communication_speech-quantity_LEFT                                        ,   -4.8896,   14.155,   -0.345, 0.730,  -32.973,   23.194
