,Item,Agreement Percentage,Mean difference (Score 0 to 1)
42,other-special-issues_substance-use,1.000,0.000
38,other-special-issues_physically-harms-self,0.937,0.063
44,other-special-issues_trauma-history,0.921,0.079
58,toileting,0.905,0.095
39,other-special-issues_physically-or-emotionally-harms-others,0.905,0.095
57,somatic-and-sensory-functions_sexual-identity-behavior,0.889,0.023
40,other-special-issues_self-care-hygiene,0.889,0.111
43,other-special-issues_tics-and-other-atypical-movements,0.889,0.111
36,other-special-issues_bullying,0.841,0.159
17,communication_receptive-language,0.794,0.071
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.778,0.057
55,somatic-and-sensory-functions_eating,0.778,0.092
9,cognition_abstract-thinking,0.746,0.052
54,social-function_tolerance,0.746,0.081
22,daily-routines_transitions,0.746,0.075
18,communication_speech-quality,0.730,0.063
21,daily-routines_screen-time,0.730,0.079
41,other-special-issues_sleep,0.730,0.270
56,somatic-and-sensory-functions_sensory-reactivity,0.730,0.082
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.714,0.057
37,other-special-issues_perception-of-reality,0.698,0.302
47,personality_integrity-and-honesty,0.683,0.084
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,0.683,0.080
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.667,0.094
16,communication_expressive-language,0.667,0.104
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.651,0.112
28,emotion_worries-anxiety,0.651,0.110
45,personality_creativity,0.651,0.088
6,behavior_play,0.651,0.121
20,daily-routines_morning-routine,0.651,0.095
4,behavior_habits-routines,0.635,0.103
11,cognition_memory-recall,0.635,0.078
7,behavior_risk-taking,0.635,0.093
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.635,0.083
48,personality_perseverance,0.635,0.122
0,behavior_activity-level,0.619,0.103
19,communication_speech-quantity,0.619,0.061
10,cognition_attention-concentration,0.587,0.100
23,emotion_attachment,0.587,0.124
5,behavior_obsessive-thoughts,0.571,0.124
52,social-function_social-cooperation,0.571,0.085
15,cognition_thinking-speed,0.571,0.112
14,cognition_task-completion,0.571,0.094
49,personality_responsibility-for-self-and-others,0.571,0.087
1,behavior_anger-management,0.556,0.103
53,social-function_social-engagement,0.556,0.138
51,social-function_social-communication,0.556,0.124
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,0.556,0.129
46,personality_future-outlook,0.540,0.107
25,emotion_empathy,0.540,0.107
12,cognition_planning-and-organization,0.540,0.123
27,emotion_stress-management,0.508,0.114
3,behavior_compliance,0.508,0.137
24,emotion_emotional-regulation-and-reactivity,0.492,0.153
50,personality_self-confidence,0.429,0.115
8,behavior_self-control,0.397,0.161
26,emotion_irritability,0.397,0.123
13,cognition_self-image,0.365,0.113
2,behavior_assertiveness,0.333,0.168
