,Item,ICC,PVal,CI95
18,communication_speech-quality,0.863,0.000,[0.59 0.96]
0,behavior_activity-level,0.872,0.000,[0.59 0.96]
47,personality_integrity-and-honesty,0.866,0.000,[0.57 0.96]
55,somatic-and-sensory-functions_eating,0.836,0.000,[0.52 0.95]
7,behavior_risk-taking,0.831,0.000,[0.51 0.95]
36,other-special-issues_bullying,0.828,0.000,[0.5  0.95]
1,behavior_anger-management,0.697,0.001,[0.03 0.92]
8,behavior_self-control,0.777,0.001,[0.39 0.93]
51,social-function_social-communication,0.766,0.002,[0.35 0.93]
49,personality_responsibility-for-self-and-others,0.756,0.003,[0.3  0.93]
54,social-function_tolerance,0.728,0.005,[0.26 0.92]
48,personality_perseverance,0.714,0.006,[0.23 0.91]
14,cognition_task-completion,0.716,0.006,[0.22 0.92]
15,cognition_thinking-speed,0.563,0.009,[-0.01  0.86]
25,emotion_empathy,0.670,0.011,[0.13 0.9 ]
21,daily-routines_screen-time,0.622,0.012,[0.12 0.88]
35,learning-and-acquisition-of-knowledge-and-skills_writing,0.663,0.012,[0.12 0.9 ]
30,learning-and-acquisition-of-knowledge-and-skills_fine-motor-skills,0.645,0.013,[0.11 0.89]
23,emotion_attachment,0.521,0.017,[-0.03  0.84]
34,learning-and-acquisition-of-knowledge-and-skills_reading,0.616,0.021,[0.03 0.88]
19,communication_speech-quantity,0.556,0.028,[0.01 0.85]
9,cognition_abstract-thinking,0.533,0.028,[0.   0.84]
28,emotion_worries-anxiety,0.573,0.032,[-0.04  0.87]
11,cognition_memory-recall,0.487,0.034,[-0.04  0.82]
10,cognition_attention-concentration,0.500,0.055,[-0.12  0.84]
31,learning-and-acquisition-of-knowledge-and-skills_gross-motor-skills,0.453,0.064,[-0.12  0.81]
45,personality_creativity,0.441,0.084,[-0.2   0.81]
3,behavior_compliance,0.441,0.084,[-0.21  0.81]
26,emotion_irritability,0.231,0.097,[-0.14  0.65]
20,daily-routines_morning-routine,0.259,0.125,[-0.17  0.69]
2,behavior_assertiveness,0.230,0.131,[-0.16  0.66]
12,cognition_planning-and-organization,0.288,0.134,[-0.2   0.72]
52,social-function_social-cooperation,0.335,0.153,[-0.33  0.77]
5,behavior_obsessive-thoughts,0.232,0.170,[-0.21  0.67]
27,emotion_stress-management,0.310,0.172,[-0.35  0.75]
4,behavior_habits-routines,0.255,0.199,[-0.31  0.71]
56,somatic-and-sensory-functions_sensory-reactivity,0.187,0.223,[-0.24  0.64]
33,learning-and-acquisition-of-knowledge-and-skills_math-arithmetic,0.113,0.374,[-0.58  0.66]
43,other-special-issues_tics-and-other-atypical-movements,-0.000,0.500,[-0.58  0.58]
40,other-special-issues_self-care-hygiene,0.000,0.500,[-0.49  0.55]
29,learning-and-acquisition-of-knowledge-and-skills_academic-motivation,-0.004,0.508,[-0.3   0.45]
32,learning-and-acquisition-of-knowledge-and-skills_learning-strategies,-0.028,0.539,[-0.49  0.52]
6,behavior_play,-0.067,0.575,[-0.72  0.56]
50,personality_self-confidence,-0.101,0.613,[-0.72  0.53]
13,cognition_self-image,-0.177,0.698,[-0.74  0.47]
41,other-special-issues_sleep,-0.364,0.866,[-0.84  0.3 ]
24,emotion_emotional-regulation-and-reactivity,-0.324,0.866,[-0.75  0.31]
22,daily-routines_transitions,-0.282,0.911,[-0.58  0.3 ]
53,social-function_social-engagement,-0.501,0.924,[-0.96  0.2 ]
17,communication_receptive-language,-0.555,0.983,[-0.87  0.1 ]
46,personality_future-outlook,-0.720,0.984,[-1.05 -0.07]
16,communication_expressive-language,-0.673,0.993,[-0.96 -0.03]
39,other-special-issues_physically-or-emotionally-harms-others,1.000,1.000,[1. 1.]
37,other-special-issues_perception-of-reality,,,[nan nan]
38,other-special-issues_physically-harms-self,,,[nan nan]
42,other-special-issues_substance-use,,,[nan nan]
44,other-special-issues_trauma-history,,,[nan nan]
57,somatic-and-sensory-functions_sexual-identity-behavior,,,[nan nan]
58,toileting,,,[nan nan]
